场次号,联赛,主队,客队,比分,赔率
周六021,意甲,蒙扎,乌迪内斯,00:30,0:3,23.00
周六021,意甲,蒙扎,乌迪内斯,00:30,3:1,25.00
周六021,意甲,蒙扎,乌迪内斯,00:30,2:3,30.00
周六021,意甲,蒙扎,乌迪内斯,00:30,3:0,30.00
周六021,意甲,蒙扎,乌迪内斯,00:30,3:2,35.00
周六021,意甲,蒙扎,乌迪内斯,00:30,1:4,60.00
周六021,意甲,蒙扎,乌迪内斯,00:30,0:4,75.00
周六021,意甲,蒙扎,乌迪内斯,00:30,3:3,90.00
周六021,意甲,蒙扎,乌迪内斯,00:30,4:1,90.00
周六021,意甲,蒙扎,乌迪内斯,00:30,2:4,100.00
周六021,意甲,蒙扎,乌迪内斯,00:30,4:0,100.00
周六021,意甲,蒙扎,乌迪内斯,00:30,4:2,150.00
周六021,意甲,蒙扎,乌迪内斯,00:30,1:5,200.00
周六021,意甲,蒙扎,乌迪内斯,00:30,0:5,300.00
周六021,意甲,蒙扎,乌迪内斯,00:30,2:5,350.00
周六021,意甲,蒙扎,乌迪内斯,00:30,5:1,350.00
周六021,意甲,蒙扎,乌迪内斯,00:30,5:0,500.00
周六021,意甲,蒙扎,乌迪内斯,00:30,5:2,500.00
周六022,意甲,佛罗伦萨,弗洛西诺内,00:30,1:1,7.25
周六022,意甲,佛罗伦萨,弗洛西诺内,00:30,1:0,7.40
周六022,意甲,佛罗伦萨,弗洛西诺内,00:30,2:1,7.50
周六022,意甲,佛罗伦萨,弗洛西诺内,00:30,2:0,7.75
周六022,意甲,佛罗伦萨,弗洛西诺内,00:30,3:0,12.00
周六022,意甲,佛罗伦萨,弗洛西诺内,00:30,3:1,12.00
周六022,意甲,佛罗伦萨,弗洛西诺内,00:30,0:0,14.00
周六022,意甲,佛罗伦萨,弗洛西诺内,00:30,1:2,14.00
周六022,意甲,佛罗伦萨,弗洛西诺内,00:30,2:2,14.00
周六022,意甲,佛罗伦萨,弗洛西诺内,00:30,0:1,15.00
周六022,意甲,佛罗伦萨,弗洛西诺内,00:30,3:2,21.00
周六022,意甲,佛罗伦萨,弗洛西诺内,00:30,4:0,23.00
周六022,意甲,佛罗伦萨,弗洛西诺内,00:30,4:1,24.00
周六022,意甲,佛罗伦萨,弗洛西诺内,00:30,0:2,30.00
周六022,意甲,佛罗伦萨,弗洛西诺内,00:30,4:2,46.00
周六022,意甲,佛罗伦萨,弗洛西诺内,00:30,1:3,48.00
周六022,意甲,佛罗伦萨,弗洛西诺内,00:30,2:3,48.00
